X,Y:Acc_TX-Body1-Model1(m/s^2),Y:Acc_TY-Body1-Model1(m/s^2),Y:Acc_TZ-Body1-Model1(m/s^2)
1.465253,0.81710632,-0.95373327,0
1.466253,0.81710048,-0.95143321,0
1.467253,0.81712125,-0.94915678,0
1.468253,0.81716853,-0.94690379,0
1.469253,0.8172422,-0.94467406,0
1.470253,0.81734217,-0.94246743,0
1.471253,0.81746831,-0.94028369,0
1.472253,0.81762053,-0.93812267,0
1.473253,0.81779871,-0.93598418,0
1.474253,0.81800275,-0.93386804,0
1.475253,0.81823254,-0.93177405,0
1.476253,0.81848797,-0.92970203,0
1.477253,0.81876892,-0.92765178,0
1.478253,0.81907531,-0.92562312,0
1.479253,0.819407,-0.92361584,0
1.480253,0.81976391,-0.92162976,0
1.481253,0.82014591,-0.91966467,0
1.482253,0.8205529,-0.91772038,0
1.483253,0.82098478,-0.91579668,0
1.484253,0.82144143,-0.91389339,0
1.485253,0.82192274,-0.9120103,0
1.486253,0.82242861,-0.9101472,0
1.487253,0.82295894,-0.9083039,0
1.488253,0.8235136,-0.90648019,0
1.489253,0.8240925,-0.90467587,0
1.490253,0.82469552,-0.90289072,0
1.491253,0.82532256,-0.90112455,0
1.492253,0.82597352,-0.89937715,0
1.493253,0.82664827,-0.89764831,0
1.494253,0.82734673,-0.89593781,0
1.495253,0.82806877,-0.89424546,0
1.496253,0.82881429,-0.89257103,0
1.497253,0.82958319,-0.89091432,0
1.498253,0.83037535,-0.88927513,0
1.499253,0.83119067,-0.88765322,0
1.500253,0.83202905,-0.8860484,0
1.501253,0.83289037,-0.88446045,0
1.502253,0.83377454,-0.88288915,0
1.503253,0.83468144,-0.8813343,0
1.504253,0.83561097,-0.87979567,0
1.505253,0.83656302,-0.87827305,0
1.506253,0.83753748,-0.87676622,0
1.507253,0.83853426,-0.87527498,0
1.508253,0.83955324,-0.87379909,0
1.509253,0.84059432,-0.87233835,0
1.510253,0.84165739,-0.87089254,0
1.511253,0.84274236,-0.86946144,0
1.512253,0.84384911,-0.86804483,0
1.513253,0.84497754,-0.8666425,0
1.514253,0.84612754,-0.86525422,0
1.515253,0.84729902,-0.86387978,0
1.516253,0.84849186,-0.86251895,0
1.517253,0.84970596,-0.86117153,0
1.518253,0.85094123,-0.85983729,0
1.519253,0.85219755,-0.85851601,0
1.520253,0.85347482,-0.85720747,0
1.521253,0.85477294,-0.85591145,0
1.522253,0.85609181,-0.85462773,0
1.523253,0.85743132,-0.8533561,0
1.524253,0.85879137,-0.85209633,0
1.525253,0.86017186,-0.85084821,0
1.526253,0.86157269,-0.84961151,0
