X:Vel_TX-Body2-Model1(m/s),Y:Vel_TX-Body2-Model1(m/s),Y:Vel_TY-Body2-Model1(m/s),Y:Vel_TZ-Body2-Model1(m/s)
2.9382530,-2.3414302,0.034475724,0.0000000
2.9392530,-2.3424690,0.034046922,0.0000000
2.9402530,-2.3434943,0.033608588,0.0000000
2.9412530,-2.3445062,0.033160803,0.0000000
2.9422530,-2.3455053,0.032703649,0.0000000
2.9432530,-2.3464916,0.032237210,0.0000000
2.9442530,-2.3474656,0.031761569,0.0000000
2.9452530,-2.3484274,0.031276809,0.0000000
2.9462530,-2.3493775,0.030783017,0.0000000
2.9472530,-2.3503161,0.030280279,0.0000000
2.9482530,-2.3512434,0.029768681,0.0000000
2.9492530,-2.3521598,0.029248310,0.0000000
2.9502530,-2.3530656,0.028719256,0.0000000
2.9512530,-2.3539610,0.028181607,0.0000000
2.9522530,-2.3548464,0.027635454,0.0000000
2.9532530,-2.3557220,0.027080888,0.0000000
2.9542530,-2.3565881,0.026518001,0.0000000
2.9552530,-2.3574450,0.025946885,0.0000000
2.9562530,-2.3582929,0.025367634,0.0000000
2.9572530,-2.3591323,0.024780342,0.0000000
2.9582530,-2.3599633,0.024185106,0.0000000
2.9592530,-2.3607862,0.023582022,0.0000000
2.9602530,-2.3616014,0.022971187,0.0000000
2.9612530,-2.3624090,0.022352700,0.0000000
2.9622530,-2.3632095,0.021726660,0.0000000
2.9632530,-2.3640030,0.021093167,0.0000000
2.9642530,-2.3647899,0.020452322,0.0000000
2.9652530,-2.3655704,0.019804228,0.0000000
2.9662530,-2.3663448,0.019148989,0.0000000
2.9672530,-2.3671134,0.018486708,0.0000000
2.9682530,-2.3678764,0.017817492,0.0000000
2.9692530,-2.3686343,0.017141445,0.0000000
2.9702530,-2.3693871,0.016458677,0.0000000
2.9712530,-2.3701352,0.015769295,0.0000000
2.9722530,-2.3708789,0.015073409,0.0000000
2.9732530,-2.3716185,0.014371129,0.0000000
2.9742530,-2.3723541,0.013662568,0.0000000
2.9752530,-2.3730862,0.012947838,0.0000000
2.9762530,-2.3738149,0.012227053,0.0000000
2.9772530,-2.3745406,0.011500329,0.0000000
2.9782530,-2.3752635,0.010767780,0.0000000
2.9792530,-2.3759838,0.010029526,0.0000000
2.9802530,-2.3767019,0.0092856828,0.0000000
2.9812530,-2.3774180,0.0085363714,0.0000000
2.9822530,-2.3781324,0.0077817121,0.0000000
2.9832530,-2.3788453,0.0070218267,0.0000000
2.9842530,-2.3795570,0.0062568382,0.0000000
2.9852530,-2.3802678,0.0054868707,0.0000000
2.9862530,-2.3809779,0.0047120496,0.0000000
2.9872530,-2.3816876,0.0039325012,0.0000000
2.9882530,-2.3823971,0.0031483531,0.0000000
2.9892530,-2.3831068,0.0023597343,0.0000000
2.9902530,-2.3838168,0.0015667747,0.0000000
2.9912530,-2.3845275,0.00076960542,0.0000000
2.9922530,-2.3852390,-3.1641072e-05,0.0000000
2.9932530,-2.3859516,-0.00083683122,0.0000000
2.9942530,-2.3866657,-0.0016458302,0.0000000
2.9952530,-2.3873813,-0.0024585022,0.0000000
2.9962530,-2.3880989,-0.0032747098,0.0000000
2.9972530,-2.3888186,-0.0040943147,0.0000000
2.9982530,-2.3895406,-0.0049171773,0.0000000
2.9992530,-2.3902653,-0.0057431568,0.0000000
3.0000000,-2.3908091,-0.0063624189,0.0000000
