X:Vel_TX-Body1-Model1(m/s),Y:Vel_TX-Body1-Model1(m/s),Y:Vel_TY-Body1-Model1(m/s),Y:Vel_TZ-Body1-Model1(m/s)
0.0000000,0.0000000,0.0000000,0.0000000
0.0010130000,-1.0057391e-08,-0.0031509241,0.0000000
0.0020370000,-8.1776796e-08,-0.0063360637,0.0000000
0.0030610000,-2.7748978e-07,-0.0095212032,0.0000000
0.0040850000,-6.5952792e-07,-0.012706343,0.0000000
0.0051090000,-1.2902228e-06,-0.015891482,0.0000000
0.0061330000,-2.2319060e-06,-0.019076622,0.0000000
0.0071570000,-3.5469091e-06,-0.022261761,0.0000000
0.0081810000,-5.2975636e-06,-0.025446900,0.0000000
0.0092050000,-7.5462011e-06,-0.028632039,0.0000000
0.010229000,-1.0355153e-05,-0.031817178,0.0000000
0.011253000,-1.3786751e-05,-0.035002316,0.0000000
0.012253000,-1.7798536e-05,-0.038112802,0.0000000
0.013253000,-2.2521616e-05,-0.041223287,0.0000000
0.014253000,-2.8014043e-05,-0.044333771,0.0000000
0.015253000,-3.4333868e-05,-0.047444254,0.0000000
0.016253000,-4.1539140e-05,-0.050554736,0.0000000
0.017253000,-4.9687910e-05,-0.053665216,0.0000000
0.018253000,-5.8838229e-05,-0.056775694,0.0000000
0.019253000,-6.9048146e-05,-0.059886170,0.0000000
0.020253000,-8.0375711e-05,-0.062996642,0.0000000
0.021253000,-9.2878975e-05,-0.066107112,0.0000000
0.022253000,-0.00010661599,-0.069217578,0.0000000
0.023253000,-0.00012164479,-0.072328039,0.0000000
0.024253000,-0.00013802345,-0.075438496,0.0000000
0.025253000,-0.00015580999,-0.078548947,0.0000000
0.026253000,-0.00017506248,-0.081659391,0.0000000
0.027253000,-0.00019583896,-0.084769829,0.0000000
0.028253000,-0.00021819747,-0.087880258,0.0000000
0.029253000,-0.00024219607,-0.090990679,0.0000000
0.030253000,-0.00026789280,-0.094101090,0.0000000
0.031253000,-0.00029534570,-0.097211490,0.0000000
0.032253000,-0.00032461282,-0.10032188,0.0000000
0.033253000,-0.00035575220,-0.10343225,0.0000000
0.034253000,-0.00038882189,-0.10654261,0.0000000
0.035253000,-0.00042387992,-0.10965296,0.0000000
0.036253000,-0.00046098434,-0.11276329,0.0000000
0.037253000,-0.00050019318,-0.11587359,0.0000000
0.038253000,-0.00054156449,-0.11898388,0.0000000
0.039253000,-0.00058515629,-0.12209415,0.0000000
0.040253000,-0.00063102663,-0.12520439,0.0000000
0.041253000,-0.00067923353,-0.12831461,0.0000000
0.042253000,-0.00072983503,-0.13142480,0.0000000
0.043253000,-0.00078288915,-0.13453496,0.0000000
0.044253000,-0.00083845393,-0.13764509,0.0000000
0.045253000,-0.00089658738,-0.14075518,0.0000000
0.046253000,-0.00095734753,-0.14386524,0.0000000
0.047253000,-0.0010207924,-0.14697526,0.0000000
0.048253000,-0.0010869800,-0.15008524,0.0000000
0.049253000,-0.0011559683,-0.15319517,0.0000000
0.050253000,-0.0012278154,-0.15630506,0.0000000
0.051253000,-0.0013025793,-0.15941490,0.0000000
0.052253000,-0.0013803179,-0.16252468,0.0000000
0.053253000,-0.0014610893,-0.16563441,0.0000000
0.054253000,-0.0015449515,-0.16874408,0.0000000
0.055253000,-0.0016319624,-0.17185369,0.0000000
0.056253000,-0.0017221800,-0.17496323,0.0000000
0.057253000,-0.0018156624,-0.17807270,0.0000000
0.058253000,-0.0019124674,-0.18118209,0.0000000
0.059253000,-0.0020126531,-0.18429141,0.0000000
0.060253000,-0.0021162775,-0.18740065,0.0000000
0.061253000,-0.0022233984,-0.19050981,0.0000000
0.062253000,-0.0023340738,-0.19361887,0.0000000
0.063253000,-0.0024483618,-0.19672784,0.0000000
0.064253000,-0.0025663201,-0.19983670,0.0000000
0.065253000,-0.0026880068,-0.20294547,0.0000000
0.066253000,-0.0028134798,-0.20605413,0.0000000
0.067253000,-0.0029427970,-0.20916267,0.0000000
