X:Acc_TX-Body2-Model1(m/s^2),Y:Acc_TX-Body2-Model1(m/s^2),Y:Acc_TY-Body2-Model1(m/s^2),Y:Acc_TZ-Body2-Model1(m/s^2)
0.11825300,-0.83218846,-6.9064105,0.0000000
0.11925300,-0.84628097,-6.9053019,0.0000000
0.12025300,-0.86049001,-6.9041651,0.0000000
0.12125300,-0.87481550,-6.9029997,0.0000000
0.12225300,-0.88925735,-6.9018052,0.0000000
0.12325300,-0.90381546,-6.9005810,0.0000000
0.12425300,-0.91848972,-6.8993268,0.0000000
0.12525300,-0.93328006,-6.8980420,0.0000000
0.12625300,-0.94818635,-6.8967261,0.0000000
0.12725300,-0.96320850,-6.8953787,0.0000000
0.12825300,-0.97834640,-6.8939992,0.0000000
0.12925300,-0.99359994,-6.8925872,0.0000000
0.13025300,-1.0089690,-6.8911421,0.0000000
0.13125300,-1.0244535,-6.8896635,0.0000000
0.13225300,-1.0400533,-6.8881508,0.0000000
0.13325300,-1.0557682,-6.8866035,0.0000000
0.13425300,-1.0715983,-6.8850211,0.0000000
0.13525300,-1.0875432,-6.8834031,0.0000000
0.13625300,-1.1036030,-6.8817489,0.0000000
0.13725300,-1.1197774,-6.8800581,0.0000000
0.13825300,-1.1360663,-6.8783300,0.0000000
0.13925300,-1.1524697,-6.8765642,0.0000000
0.14025300,-1.1689873,-6.8747601,0.0000000
0.14125300,-1.1856191,-6.8729172,0.0000000
0.14225300,-1.2023648,-6.8710349,0.0000000
0.14325300,-1.2192243,-6.8691127,0.0000000
0.14425300,-1.2361975,-6.8671501,0.0000000
0.14525300,-1.2532843,-6.8651464,0.0000000
0.14625300,-1.2704844,-6.8631011,0.0000000
0.14725300,-1.2877977,-6.8610137,0.0000000
0.14825300,-1.3052240,-6.8588835,0.0000000
0.14925300,-1.3227632,-6.8567101,0.0000000
0.15025300,-1.3404150,-6.8544928,0.0000000
0.15125300,-1.3581794,-6.8522311,0.0000000
0.15225300,-1.3760562,-6.8499243,0.0000000
0.15325300,-1.3940451,-6.8475720,0.0000000
0.15425300,-1.4121459,-6.8451735,0.0000000
0.15525300,-1.4303586,-6.8427282,0.0000000
0.15625300,-1.4486828,-6.8402355,0.0000000
0.15725300,-1.4671185,-6.8376949,0.0000000
0.15825300,-1.4856653,-6.8351058,0.0000000
0.15925300,-1.5043231,-6.8324674,0.0000000
0.16025300,-1.5230917,-6.8297793,0.0000000
0.16125300,-1.5419709,-6.8270409,0.0000000
0.16225300,-1.5609604,-6.8242514,0.0000000
0.16325300,-1.5800601,-6.8214104,0.0000000
0.16425300,-1.5992697,-6.8185171,0.0000000
0.16525300,-1.6185889,-6.8155711,0.0000000
0.16625300,-1.6380177,-6.8125715,0.0000000
0.16725300,-1.6575556,-6.8095179,0.0000000
0.16825300,-1.6772025,-6.8064095,0.0000000
0.16925300,-1.6969581,-6.8032459,0.0000000
0.17025300,-1.7168223,-6.8000262,0.0000000
0.17125300,-1.7367946,-6.7967499,0.0000000
0.17225300,-1.7568750,-6.7934164,0.0000000
0.17325300,-1.7770630,-6.7900249,0.0000000
0.17425300,-1.7973585,-6.7865750,0.0000000
0.17525300,-1.8177612,-6.7830658,0.0000000
0.17625300,-1.8382708,-6.7794968,0.0000000
0.17725300,-1.8588870,-6.7758672,0.0000000
0.17825300,-1.8796095,-6.7721765,0.0000000
0.17925300,-1.9004381,-6.7684240,0.0000000
0.18025300,-1.9213724,-6.7646090,0.0000000
0.18125300,-1.9424122,-6.7607309,0.0000000
0.18225300,-1.9635572,-6.7567890,0.0000000
0.18325300,-1.9848070,-6.7527825,0.0000000
0.18425300,-2.0061613,-6.7487109,0.0000000
0.18525300,-2.0276199,-6.7445735,0.0000000
0.18625300,-2.0491823,-6.7403696,0.0000000
0.18725300,-2.0708483,-6.7360985,0.0000000
0.18825300,-2.0926176,-6.7317595,0.0000000
0.18925300,-2.1144897,-6.7273520,0.0000000
0.19025300,-2.1364644,-6.7228752,0.0000000
0.19125300,-2.1585412,-6.7183285,0.0000000
0.19225300,-2.1807200,-6.7137112,0.0000000
0.19325300,-2.2030002,-6.7090225,0.0000000
0.19425300,-2.2253815,-6.7042619,0.0000000
0.19525300,-2.2478636,-6.6994285,0.0000000
0.19625300,-2.2704460,-6.6945217,0.0000000
0.19725300,-2.2931285,-6.6895409,0.0000000
0.19825300,-2.3159106,-6.6844852,0.0000000
0.19925300,-2.3387918,-6.6793540,0.0000000
0.20025300,-2.3617719,-6.6741466,0.0000000
0.20125300,-2.3848504,-6.6688622,0.0000000
0.20225300,-2.4080270,-6.6635002,0.0000000
0.20325300,-2.4313011,-6.6580598,0.0000000
0.20425300,-2.4546723,-6.6525404,0.0000000
0.20525300,-2.4781403,-6.6469411,0.0000000
0.20625300,-2.5017047,-6.6412614,0.0000000
0.20725300,-2.5253649,-6.6355004,0.0000000
0.20825300,-2.5491205,-6.6296575,0.0000000
0.20925300,-2.5729711,-6.6237319,0.0000000
0.21025300,-2.5969162,-6.6177229,0.0000000
0.21125300,-2.6209553,-6.6116298,0.0000000
0.21225300,-2.6450881,-6.6054518,0.0000000
0.21325300,-2.6693139,-6.5991883,0.0000000
0.21425300,-2.6936324,-6.5928384,0.0000000
0.21525300,-2.7180430,-6.5864015,0.0000000
0.21625300,-2.7425453,-6.5798768,0.0000000
0.21725300,-2.7671387,-6.5732637,0.0000000
0.21825300,-2.7918227,-6.5665612,0.0000000
0.21925300,-2.8165969,-6.5597688,0.0000000
0.22025300,-2.8414606,-6.5528857,0.0000000
0.22125300,-2.8664134,-6.5459112,0.0000000
0.22225300,-2.8914548,-6.5388444,0.0000000
0.22325300,-2.9165842,-6.5316847,0.0000000
0.22425300,-2.9418010,-6.5244314,0.0000000
0.22525300,-2.9671047,-6.5170836,0.0000000
0.22625300,-2.9924948,-6.5096407,0.0000000
0.22725300,-3.0179706,-6.5021019,0.0000000
0.22825300,-3.0435316,-6.4944664,0.0000000
0.22925300,-3.0691772,-6.4867336,0.0000000
0.23025300,-3.0949069,-6.4789027,0.0000000
0.23125300,-3.1207200,-6.4709728,0.0000000
0.23225300,-3.1466159,-6.4629434,0.0000000
0.23325300,-3.1725940,-6.4548136,0.0000000
0.23425300,-3.1986537,-6.4465827,0.0000000
0.23525300,-3.2247945,-6.4382500,0.0000000
0.23625300,-3.2510155,-6.4298146,0.0000000
0.23725300,-3.2773163,-6.4212760,0.0000000
0.23825300,-3.3036961,-6.4126332,0.0000000
0.23925300,-3.3301544,-6.4038856,0.0000000
0.24025300,-3.3566904,-6.3950324,0.0000000
0.24125300,-3.3833035,-6.3860729,0.0000000
0.24225300,-3.4099930,-6.3770064,0.0000000
0.24325300,-3.4367582,-6.3678320,0.0000000
0.24425300,-3.4635984,-6.3585491,0.0000000
0.24525300,-3.4905130,-6.3491568,0.0000000
0.24625300,-3.5175013,-6.3396546,0.0000000
0.24725300,-3.5445625,-6.3300415,0.0000000
0.24825300,-3.5716958,-6.3203169,0.0000000
0.24925300,-3.5989007,-6.3104801,0.0000000
0.25025300,-3.6261763,-6.3005302,0.0000000
0.25125300,-3.6535219,-6.2904666,0.0000000
0.25225300,-3.6809368,-6.2802886,0.0000000
0.25325300,-3.7084201,-6.2699952,0.0000000
0.25425300,-3.7359712,-6.2595860,0.0000000
0.25525300,-3.7635892,-6.2490600,0.0000000
0.25625300,-3.7912734,-6.2384166,0.0000000
0.25725300,-3.8190230,-6.2276551,0.0000000
0.25825300,-3.8468372,-6.2167746,0.0000000
0.25925300,-3.8747151,-6.2057746,0.0000000
0.26025300,-3.9026561,-6.1946541,0.0000000
0.26125300,-3.9306591,-6.1834126,0.0000000
0.26225300,-3.9587235,-6.1720493,0.0000000
0.26325300,-3.9868484,-6.1605635,0.0000000
0.26425300,-4.0150329,-6.1489544,0.0000000
0.26525300,-4.0432762,-6.1372214,0.0000000
0.26625300,-4.0715775,-6.1253636,0.0000000
0.26725300,-4.0999358,-6.1133805,0.0000000
0.26825300,-4.1283502,-6.1012712,0.0000000
0.26925300,-4.1568200,-6.0890351,0.0000000
0.27025300,-4.1853441,-6.0766715,0.0000000
0.27125300,-4.2139218,-6.0641797,0.0000000
0.27225300,-4.2425521,-6.0515588,0.0000000
0.27325300,-4.2712340,-6.0388084,0.0000000
0.27425300,-4.2999667,-6.0259276,0.0000000
0.27525300,-4.3287492,-6.0129157,0.0000000
0.27625300,-4.3575805,-5.9997721,0.0000000
0.27725300,-4.3864598,-5.9864961,0.0000000
0.27825300,-4.4153861,-5.9730869,0.0000000
0.27925300,-4.4443584,-5.9595439,0.0000000
0.28025300,-4.4733756,-5.9458665,0.0000000
0.28125300,-4.5024369,-5.9320539,0.0000000
0.28225300,-4.5315413,-5.9181054,0.0000000
0.28325300,-4.5606877,-5.9040205,0.0000000
0.28425300,-4.5898752,-5.8897983,0.0000000
0.28525300,-4.6191027,-5.8754383,0.0000000
0.28625300,-4.6483692,-5.8609399,0.0000000
0.28725300,-4.6776736,-5.8463022,0.0000000
0.28825300,-4.7070150,-5.8315247,0.0000000
0.28925300,-4.7363923,-5.8166068,0.0000000
0.29025300,-4.7658043,-5.8015477,0.0000000
0.29125300,-4.7952502,-5.7863469,0.0000000
0.29225300,-4.8247287,-5.7710037,0.0000000
0.29325300,-4.8542388,-5.7555174,0.0000000
0.29425300,-4.8837795,-5.7398875,0.0000000
0.29525300,-4.9133495,-5.7241133,0.0000000
0.29625300,-4.9429479,-5.7081943,0.0000000
0.29725300,-4.9725734,-5.6921297,0.0000000
0.29825300,-5.0022250,-5.6759189,0.0000000
0.29925300,-5.0319016,-5.6595614,0.0000000
0.30025300,-5.0616019,-5.6430566,0.0000000
0.30125300,-5.0913249,-5.6264039,0.0000000
0.30225300,-5.1210694,-5.6096026,0.0000000
0.30325300,-5.1508342,-5.5926523,0.0000000
0.30425300,-5.1806182,-5.5755522,0.0000000
0.30525300,-5.2104201,-5.5583019,0.0000000
0.30625300,-5.2402388,-5.5409007,0.0000000
0.30725300,-5.2700732,-5.5233481,0.0000000
0.30825300,-5.2999219,-5.5056436,0.0000000
0.30925300,-5.3297838,-5.4877866,0.0000000
0.31025300,-5.3596576,-5.4697765,0.0000000
0.31125300,-5.3895422,-5.4516128,0.0000000
0.31225300,-5.4194363,-5.4332949,0.0000000
0.31325300,-5.4493386,-5.4148224,0.0000000
0.31425300,-5.4792479,-5.3961947,0.0000000
0.31525300,-5.5091630,-5.3774113,0.0000000
0.31625300,-5.5390825,-5.3584717,0.0000000
0.31725300,-5.5690052,-5.3393754,0.0000000
0.31825300,-5.5989299,-5.3201219,0.0000000
0.31925300,-5.6288551,-5.3007106,0.0000000
0.32025300,-5.6587797,-5.2811412,0.0000000
0.32125300,-5.6887022,-5.2614131,0.0000000
0.32225300,-5.7186215,-5.2415258,0.0000000
0.32325300,-5.7485362,-5.2214790,0.0000000
0.32425300,-5.7784449,-5.2012721,0.0000000
0.32525300,-5.8083463,-5.1809047,0.0000000
0.32625300,-5.8382391,-5.1603763,0.0000000
0.32725300,-5.8681219,-5.1396866,0.0000000
0.32825300,-5.8979934,-5.1188351,0.0000000
0.32925300,-5.9278522,-5.0978213,0.0000000
0.33025300,-5.9576969,-5.0766450,0.0000000
0.33125300,-5.9875261,-5.0553056,0.0000000
0.33225300,-6.0173385,-5.0338027,0.0000000
0.33325300,-6.0471327,-5.0121361,0.0000000
0.33425300,-6.0769072,-4.9903052,0.0000000
0.33525300,-6.1066606,-4.9683098,0.0000000
0.33625300,-6.1363916,-4.9461495,0.0000000
0.33725300,-6.1660987,-4.9238239,0.0000000
0.33825300,-6.1957805,-4.9013327,0.0000000
0.33925300,-6.2254356,-4.8786755,0.0000000
0.34025300,-6.2550624,-4.8558520,0.0000000
0.34125300,-6.2846596,-4.8328619,0.0000000
0.34225300,-6.3142257,-4.8097049,0.0000000
0.34325300,-6.3437593,-4.7863807,0.0000000
0.34425300,-6.3732588,-4.7628890,0.0000000
0.34525300,-6.4027228,-4.7392295,0.0000000
0.34625300,-6.4321498,-4.7154020,0.0000000
0.34725300,-6.4615384,-4.6914061,0.0000000
0.34825300,-6.4908870,-4.6672416,0.0000000
0.34925300,-6.5201941,-4.6429084,0.0000000
0.35025300,-6.5494583,-4.6184060,0.0000000
0.35125300,-6.5786779,-4.5937344,0.0000000
0.35225300,-6.6078516,-4.5688933,0.0000000
0.35325300,-6.6369778,-4.5438824,0.0000000
0.35425300,-6.6660549,-4.5187017,0.0000000
0.35525300,-6.6950814,-4.4933509,0.0000000
0.35625300,-6.7240558,-4.4678299,0.0000000
0.35725300,-6.7529766,-4.4421384,0.0000000
0.35825300,-6.7818421,-4.4162763,0.0000000
0.35925300,-6.8106508,-4.3902435,0.0000000
0.36025300,-6.8394013,-4.3640399,0.0000000
0.36125300,-6.8680918,-4.3376653,0.0000000
0.36225300,-6.8967208,-4.3111196,0.0000000
0.36325300,-6.9252868,-4.2844027,0.0000000
0.36425300,-6.9537882,-4.2575145,0.0000000
0.36525300,-6.9822234,-4.2304550,0.0000000
0.36625300,-7.0105908,-4.2032241,0.0000000
0.36725300,-7.0388888,-4.1758216,0.0000000
0.36825300,-7.0671158,-4.1482477,0.0000000
0.36925300,-7.0952702,-4.1205022,0.0000000
0.37025300,-7.1233505,-4.0925851,0.0000000
0.37125300,-7.1513549,-4.0644964,0.0000000
0.37225300,-7.1792819,-4.0362361,0.0000000
0.37325300,-7.2071299,-4.0078043,0.0000000
0.37425300,-7.2348972,-3.9792009,0.0000000
0.37525300,-7.2625822,-3.9504259,0.0000000
0.37625300,-7.2901833,-3.9214795,0.0000000
0.37725300,-7.3176989,-3.8923617,0.0000000
0.37825300,-7.3451273,-3.8630726,0.0000000
0.37925300,-7.3724669,-3.8336122,0.0000000
0.38025300,-7.3997160,-3.8039806,0.0000000
0.38125300,-7.4268730,-3.7741780,0.0000000
0.38225300,-7.4539363,-3.7442044,0.0000000
0.38325300,-7.4809041,-3.7140601,0.0000000
0.38425300,-7.5077750,-3.6837451,0.0000000
0.38525300,-7.5345471,-3.6532596,0.0000000
0.38625300,-7.5612188,-3.6226038,0.0000000
0.38725300,-7.5877886,-3.5917779,0.0000000
0.38825300,-7.6142546,-3.5607820,0.0000000
0.38925300,-7.6406153,-3.5296164,0.0000000
0.39025300,-7.6668690,-3.4982813,0.0000000
0.39125300,-7.6930141,-3.4667770,0.0000000
0.39225300,-7.7190488,-3.4351036,0.0000000
0.39325300,-7.7449714,-3.4032614,0.0000000
0.39425300,-7.7707804,-3.3712508,0.0000000
0.39525300,-7.7964741,-3.3390719,0.0000000
0.39625300,-7.8220507,-3.3067252,0.0000000
0.39725300,-7.8475086,-3.2742109,0.0000000
0.39825300,-7.8728462,-3.2415293,0.0000000
0.39925300,-7.8980617,-3.2086809,0.0000000
0.40025300,-7.9231535,-3.1756658,0.0000000
0.40125300,-7.9481199,-3.1424846,0.0000000
0.40225300,-7.9729592,-3.1091376,0.0000000
0.40325300,-7.9976698,-3.0756252,0.0000000
0.40425300,-8.0222500,-3.0419477,0.0000000
0.40525300,-8.0466981,-3.0081057,0.0000000
0.40625300,-8.0710124,-2.9740996,0.0000000
0.40725300,-8.0951913,-2.9399298,0.0000000
0.40825300,-8.1192330,-2.9055967,0.0000000
0.40925300,-8.1431360,-2.8711009,0.0000000
0.41025300,-8.1668986,-2.8364429,0.0000000
0.41125300,-8.1905190,-2.8016231,0.0000000
0.41225300,-8.2139956,-2.7666421,0.0000000
0.41325300,-8.2373267,-2.7315005,0.0000000
0.41425300,-8.2605108,-2.6961986,0.0000000
0.41525300,-8.2835460,-2.6607373,0.0000000
0.41625300,-8.3064309,-2.6251169,0.0000000
0.41725300,-8.3291636,-2.5893381,0.0000000
0.41825300,-8.3517425,-2.5534015,0.0000000
0.41925300,-8.3741661,-2.5173078,0.0000000
0.42025300,-8.3964325,-2.4810575,0.0000000
0.42125300,-8.4185403,-2.4446513,0.0000000
0.42225300,-8.4404877,-2.4080899,0.0000000
0.42325300,-8.4622731,-2.3713739,0.0000000
0.42425300,-8.4838949,-2.3345041,0.0000000
0.42525300,-8.5053514,-2.2974811,0.0000000
0.42625300,-8.5266410,-2.2603057,0.0000000
0.42725300,-8.5477620,-2.2229786,0.0000000
