X:Pos_TX-Body1-Model1(m),Y:Pos_TX-Body1-Model1(m),Y:Pos_TY-Body1-Model1(m),Y:Pos_TZ-Body1-Model1(m)
1.7432530,-0.32886369,-0.37662803,0.0000000
1.7442530,-0.32845384,-0.37698551,0.0000000
1.7452530,-0.32804251,-0.37734349,0.0000000
1.7462530,-0.32762970,-0.37770197,0.0000000
1.7472530,-0.32721540,-0.37806095,0.0000000
1.7482530,-0.32679961,-0.37842042,0.0000000
1.7492530,-0.32638232,-0.37878038,0.0000000
1.7502530,-0.32596354,-0.37914083,0.0000000
1.7512530,-0.32554326,-0.37950176,0.0000000
1.7522530,-0.32512147,-0.37986318,0.0000000
1.7532530,-0.32469817,-0.38022506,0.0000000
1.7542530,-0.32427336,-0.38058743,0.0000000
1.7552530,-0.32384703,-0.38095026,0.0000000
1.7562530,-0.32341919,-0.38131355,0.0000000
1.7572530,-0.32298983,-0.38167731,0.0000000
1.7582530,-0.32255894,-0.38204153,0.0000000
1.7592530,-0.32212652,-0.38240620,0.0000000
1.7602530,-0.32169258,-0.38277132,0.0000000
1.7612530,-0.32125709,-0.38313689,0.0000000
1.7622530,-0.32082007,-0.38350291,0.0000000
1.7632530,-0.32038151,-0.38386936,0.0000000
1.7642530,-0.31994141,-0.38423625,0.0000000
1.7652530,-0.31949975,-0.38460357,0.0000000
1.7662530,-0.31905655,-0.38497132,0.0000000
1.7672530,-0.31861179,-0.38533950,0.0000000
1.7682530,-0.31816547,-0.38570809,0.0000000
1.7692530,-0.31771760,-0.38607710,0.0000000
1.7702530,-0.31726816,-0.38644652,0.0000000
1.7712530,-0.31681715,-0.38681636,0.0000000
1.7722530,-0.31636457,-0.38718659,0.0000000
1.7732530,-0.31591042,-0.38755723,0.0000000
1.7742530,-0.31545469,-0.38792826,0.0000000
1.7752530,-0.31499739,-0.38829969,0.0000000
1.7762530,-0.31453849,-0.38867150,0.0000000
1.7772530,-0.31407802,-0.38904370,0.0000000
1.7782530,-0.31361595,-0.38941627,0.0000000
1.7792530,-0.31315229,-0.38978923,0.0000000
1.7802530,-0.31268704,-0.39016255,0.0000000
1.7812530,-0.31222019,-0.39053624,0.0000000
1.7822530,-0.31175174,-0.39091029,0.0000000
1.7832530,-0.31128168,-0.39128470,0.0000000
1.7842530,-0.31081001,-0.39165946,0.0000000
1.7852530,-0.31033674,-0.39203458,0.0000000
1.7862530,-0.30986185,-0.39241004,0.0000000
1.7872530,-0.30938534,-0.39278584,0.0000000
1.7882530,-0.30890721,-0.39316197,0.0000000
1.7892530,-0.30842746,-0.39353844,0.0000000
1.7902530,-0.30794609,-0.39391523,0.0000000
1.7912530,-0.30746308,-0.39429234,0.0000000
1.7922530,-0.30697845,-0.39466978,0.0000000
1.7932530,-0.30649218,-0.39504752,0.0000000
1.7942530,-0.30600427,-0.39542557,0.0000000
1.7952530,-0.30551473,-0.39580393,0.0000000
1.7962530,-0.30502354,-0.39618259,0.0000000
1.7972530,-0.30453070,-0.39656154,0.0000000
1.7982530,-0.30403621,-0.39694078,0.0000000
1.7992530,-0.30354008,-0.39732030,0.0000000
1.8002530,-0.30304229,-0.39770010,0.0000000
1.8012530,-0.30254284,-0.39808018,0.0000000
1.8022530,-0.30204173,-0.39846053,0.0000000
1.8032530,-0.30153896,-0.39884114,0.0000000
1.8042530,-0.30103452,-0.39922201,0.0000000
1.8052530,-0.30052842,-0.39960314,0.0000000
1.8062530,-0.30002064,-0.39998452,0.0000000
1.8072530,-0.29951119,-0.40036614,0.0000000
1.8082530,-0.29900007,-0.40074800,0.0000000
1.8092530,-0.29848726,-0.40113010,0.0000000
1.8102530,-0.29797277,-0.40151242,0.0000000
1.8112530,-0.29745660,-0.40189497,0.0000000
1.8122530,-0.29693875,-0.40227774,0.0000000
1.8132530,-0.29641920,-0.40266072,0.0000000
1.8142530,-0.29589796,-0.40304391,0.0000000
1.8152530,-0.29537503,-0.40342731,0.0000000
1.8162530,-0.29485040,-0.40381090,0.0000000
1.8172530,-0.29432407,-0.40419468,0.0000000
1.8182530,-0.29379604,-0.40457865,0.0000000
1.8192530,-0.29326631,-0.40496281,0.0000000
1.8202530,-0.29273486,-0.40534713,0.0000000
1.8212530,-0.29220171,-0.40573163,0.0000000
1.8222530,-0.29166685,-0.40611630,0.0000000
1.8232530,-0.29113028,-0.40650112,0.0000000
1.8242530,-0.29059198,-0.40688610,0.0000000
1.8252530,-0.29005197,-0.40727123,0.0000000
1.8262530,-0.28951024,-0.40765650,0.0000000
1.8272530,-0.28896679,-0.40804190,0.0000000
1.8282530,-0.28842161,-0.40842744,0.0000000
1.8292530,-0.28787470,-0.40881311,0.0000000
1.8302530,-0.28732607,-0.40919889,0.0000000
1.8312530,-0.28677570,-0.40958479,0.0000000
1.8322530,-0.28622360,-0.40997079,0.0000000
1.8332530,-0.28566976,-0.41035690,0.0000000
1.8342530,-0.28511419,-0.41074311,0.0000000
1.8352530,-0.28455687,-0.41112940,0.0000000
1.8362530,-0.28399782,-0.41151578,0.0000000
1.8372530,-0.28343701,-0.41190224,0.0000000
1.8382530,-0.28287447,-0.41228878,0.0000000
1.8392530,-0.28231017,-0.41267538,0.0000000
1.8402530,-0.28174413,-0.41306204,0.0000000
1.8412530,-0.28117633,-0.41344875,0.0000000
1.8422530,-0.28060678,-0.41383552,0.0000000
1.8432530,-0.28003548,-0.41422232,0.0000000
1.8442530,-0.27946241,-0.41460916,0.0000000
1.8452530,-0.27888759,-0.41499604,0.0000000
1.8462530,-0.27831101,-0.41538293,0.0000000
1.8472530,-0.27773266,-0.41576985,0.0000000
1.8482530,-0.27715256,-0.41615677,0.0000000
1.8492530,-0.27657068,-0.41654370,0.0000000
1.8502530,-0.27598704,-0.41693063,0.0000000
1.8512530,-0.27540163,-0.41731756,0.0000000
1.8522530,-0.27481445,-0.41770446,0.0000000
1.8532530,-0.27422549,-0.41809135,0.0000000
1.8542530,-0.27363477,-0.41847821,0.0000000
1.8552530,-0.27304227,-0.41886504,0.0000000
1.8562530,-0.27244799,-0.41925183,0.0000000
1.8572530,-0.27185193,-0.41963857,0.0000000
1.8582530,-0.27125410,-0.42002526,0.0000000
1.8592530,-0.27065448,-0.42041188,0.0000000
1.8602530,-0.27005308,-0.42079845,0.0000000
1.8612530,-0.26944990,-0.42118494,0.0000000
1.8622530,-0.26884494,-0.42157135,0.0000000
1.8632530,-0.26823819,-0.42195767,0.0000000
1.8642530,-0.26762965,-0.42234390,0.0000000
1.8652530,-0.26701933,-0.42273003,0.0000000
1.8662530,-0.26640721,-0.42311606,0.0000000
