X:Pos_TX-Body2-Model1(m),Y:Pos_TX-Body2-Model1(m),Y:Pos_TY-Body2-Model1(m),Y:Pos_TZ-Body2-Model1(m)
0.0000000,1.5000000,0.0000000,0.0000000
0.0010130000,1.5000000,-3.5601807e-06,0.0000000
0.0020370000,1.5000000,-1.4395780e-05,0.0000000
0.0030610000,1.5000000,-3.2507219e-05,0.0000000
0.0040850000,1.5000000,-5.7894496e-05,0.0000000
0.0051090000,1.5000000,-9.0557611e-05,0.0000000
0.0061330000,1.5000000,-0.00013049657,0.0000000
0.0071570000,1.5000000,-0.00017771136,0.0000000
0.0081810000,1.5000000,-0.00023220199,0.0000000
0.0092050000,1.5000000,-0.00029396846,0.0000000
0.010229000,1.4999999,-0.00036301076,0.0000000
0.011253000,1.4999999,-0.00043932891,0.0000000
0.012253000,1.4999999,-0.00052088039,0.0000000
0.013253000,1.4999998,-0.00060937064,0.0000000
0.014253000,1.4999998,-0.00070479967,0.0000000
0.015253000,1.4999997,-0.00080716748,0.0000000
0.016253000,1.4999997,-0.00091647406,0.0000000
0.017253000,1.4999996,-0.0010327194,0.0000000
0.018253000,1.4999994,-0.0011559035,0.0000000
0.019253000,1.4999993,-0.0012860264,0.0000000
0.020253000,1.4999992,-0.0014230880,0.0000000
0.021253000,1.4999990,-0.0015670884,0.0000000
0.022253000,1.4999988,-0.0017180275,0.0000000
0.023253000,1.4999985,-0.0018759054,0.0000000
0.024253000,1.4999983,-0.0020407220,0.0000000
0.025253000,1.4999980,-0.0022124773,0.0000000
0.026253000,1.4999976,-0.0023911714,0.0000000
0.027253000,1.4999973,-0.0025768041,0.0000000
0.028253000,1.4999968,-0.0027693755,0.0000000
0.029253000,1.4999964,-0.0029688856,0.0000000
0.030253000,1.4999958,-0.0031753344,0.0000000
0.031253000,1.4999953,-0.0033887218,0.0000000
0.032253000,1.4999946,-0.0036090478,0.0000000
0.033253000,1.4999939,-0.0038363124,0.0000000
0.034253000,1.4999932,-0.0040705156,0.0000000
0.035253000,1.4999923,-0.0043116574,0.0000000
0.036253000,1.4999914,-0.0045597376,0.0000000
0.037253000,1.4999904,-0.0048147564,0.0000000
0.038253000,1.4999894,-0.0050767136,0.0000000
0.039253000,1.4999882,-0.0053456093,0.0000000
0.040253000,1.4999870,-0.0056214433,0.0000000
0.041253000,1.4999856,-0.0059042157,0.0000000
0.042253000,1.4999842,-0.0061939264,0.0000000
0.043253000,1.4999826,-0.0064905753,0.0000000
0.044253000,1.4999810,-0.0067941624,0.0000000
0.045253000,1.4999792,-0.0071046877,0.0000000
0.046253000,1.4999773,-0.0074221511,0.0000000
0.047253000,1.4999752,-0.0077465524,0.0000000
0.048253000,1.4999731,-0.0080778918,0.0000000
0.049253000,1.4999708,-0.0084161690,0.0000000
0.050253000,1.4999683,-0.0087613840,0.0000000
0.051253000,1.4999657,-0.0091135367,0.0000000
0.052253000,1.4999630,-0.0094726270,0.0000000
0.053253000,1.4999601,-0.0098386549,0.0000000
0.054253000,1.4999570,-0.010211620,0.0000000
0.055253000,1.4999537,-0.010591523,0.0000000
0.056253000,1.4999503,-0.010978363,0.0000000
0.057253000,1.4999466,-0.011372140,0.0000000
0.058253000,1.4999428,-0.011772854,0.0000000
0.059253000,1.4999388,-0.012180505,0.0000000
0.060253000,1.4999345,-0.012595092,0.0000000
0.061253000,1.4999301,-0.013016617,0.0000000
0.062253000,1.4999254,-0.013445077,0.0000000
0.063253000,1.4999205,-0.013880474,0.0000000
0.064253000,1.4999154,-0.014322807,0.0000000
0.065253000,1.4999100,-0.014772076,0.0000000
0.066253000,1.4999043,-0.015228281,0.0000000
0.067253000,1.4998984,-0.015691421,0.0000000
0.068253000,1.4998922,-0.016161497,0.0000000
0.069253000,1.4998858,-0.016638508,0.0000000
0.070253000,1.4998790,-0.017122454,0.0000000
0.071253000,1.4998720,-0.017613334,0.0000000
0.072253000,1.4998647,-0.018111149,0.0000000
0.073253000,1.4998570,-0.018615899,0.0000000
0.074253000,1.4998490,-0.019127582,0.0000000
0.075253000,1.4998407,-0.019646199,0.0000000
0.076253000,1.4998321,-0.020171750,0.0000000
0.077253000,1.4998231,-0.020704233,0.0000000
0.078253000,1.4998138,-0.021243650,0.0000000
0.079253000,1.4998041,-0.021789999,0.0000000
0.080253000,1.4997940,-0.022343280,0.0000000
0.081253000,1.4997835,-0.022903493,0.0000000
0.082253000,1.4997727,-0.023470638,0.0000000
0.083253000,1.4997614,-0.024044714,0.0000000
0.084253000,1.4997498,-0.024625721,0.0000000
0.085253000,1.4997377,-0.025213658,0.0000000
0.086253000,1.4997251,-0.025808525,0.0000000
0.087253000,1.4997122,-0.026410322,0.0000000
0.088253000,1.4996988,-0.027019047,0.0000000
0.089253000,1.4996849,-0.027634702,0.0000000
0.090253000,1.4996705,-0.028257285,0.0000000
0.091253000,1.4996557,-0.028886795,0.0000000
0.092253000,1.4996403,-0.029523233,0.0000000
0.093253000,1.4996245,-0.030166598,0.0000000
0.094253000,1.4996081,-0.030816888,0.0000000
0.095253000,1.4995912,-0.031474105,0.0000000
0.096253000,1.4995738,-0.032138246,0.0000000
0.097253000,1.4995558,-0.032809312,0.0000000
0.098253000,1.4995372,-0.033487302,0.0000000
0.099253000,1.4995181,-0.034172215,0.0000000
0.10025300,1.4994984,-0.034864051,0.0000000
0.10125300,1.4994781,-0.035562809,0.0000000
0.10225300,1.4994572,-0.036268488,0.0000000
0.10325300,1.4994356,-0.036981088,0.0000000
0.10425300,1.4994134,-0.037700608,0.0000000
0.10525300,1.4993906,-0.038427047,0.0000000
0.10625300,1.4993671,-0.039160404,0.0000000
0.10725300,1.4993430,-0.039900679,0.0000000
0.10825300,1.4993181,-0.040647871,0.0000000
0.10925300,1.4992926,-0.041401979,0.0000000
0.11025300,1.4992663,-0.042163001,0.0000000
0.11125300,1.4992394,-0.042930938,0.0000000
0.11225300,1.4992116,-0.043705789,0.0000000
0.11325300,1.4991832,-0.044487552,0.0000000
0.11425300,1.4991540,-0.045276226,0.0000000
0.11525300,1.4991240,-0.046071810,0.0000000
0.11625300,1.4990932,-0.046874305,0.0000000
